Jerry Richards,0-(433)956-3028
Daniel Richards,3-(669)048-6741
Marie Ross,3-(978)782-8294
Henry Martinez,0-(306)855-1180
Sandra Bryant,9-(487)827-1044
Jerry Carr,2-(421)503-8225
Lawrence Dean,8-(333)373-0742
Antonio Cox,3-(568)550-4125
Kimberly George,1-(086)683-7489
Robin Kelly,4-(982)099-8019
John Mendoza,9-(070)585-2039
Antonio Andrews,5-(811)824-7294
Betty Bryant,9-(118)582-0863
Kathy Walker,1-(246)662-4825
Jeffrey Turner,9-(772)772-4693
Sharon Kennedy,0-(379)779-1327
Albert Wells,3-(470)890-0382
Catherine Hernandez,7-(680)729-9549
Irene Brown,9-(600)285-7621
Craig Shaw,2-(205)977-4327
Willie Lawson,0-(372)866-2827
Kevin Dixon,8-(732)433-7886
Laura Hughes,0-(688)887-8981
Wayne Hamilton,6-(399)730-9896
Judith Wells,6-(299)831-7920
Susan Ramirez,9-(005)698-7183
Jessica Hansen,7-(584)124-9119
Diana Ortiz,3-(488)611-3113
Keith Palmer,0-(138)889-2149
Jeffrey Henderson,2-(442)182-7387
Randy Ellis,0-(724)712-6031
Joan Fisher,7-(024)072-1516
Robin Black,7-(925)436-8691
Carl James,5-(828)146-7474
Keith Johnston,9-(105)587-4422
Ruby Harvey,6-(373)233-7537
Roger Cole,1-(868)492-7235
Johnny Sanchez,5-(804)327-7947
Mildred Parker,3-(779)923-4751
Gloria Simpson,8-(340)698-5252
Frank Wright,1-(047)304-4587
Ernest Howell,2-(310)476-4789
Willie Warren,7-(749)241-5386
Shawn Powell,2-(261)141-5013
Thomas Ray,0-(864)471-1683
Kathleen Day,0-(230)267-4539
Philip Ferguson,0-(636)394-5663
Jeffrey Berry,6-(698)850-1371
Jacqueline Greene,9-(005)721-8682
Michael Mcdonald,6-(803)697-7410
Melissa Carroll,3-(599)311-9908
Craig Myers,1-(328)461-7430
Brian Garrett,1-(647)393-7102
Gary George,9-(704)034-8067
Kathy Alvarez,6-(084)200-5226
Laura Torres,1-(773)606-7970
Judy Barnes,4-(836)830-3352
Roy Gilbert,8-(857)073-0843
Heather Johnson,3-(544)802-5252
Donald Reyes,4-(340)258-0669
Julie Ramos,7-(472)434-1421
Jacqueline Carpenter,6-(172)843-4383
Donna Harvey,8-(654)785-2176
Ernest Butler,1-(251)848-8467
Alice Fuller,0-(606)824-8427
Debra Adams,5-(784)174-5636
Kimberly Cruz,5-(385)680-9925
Joe Baker,6-(672)135-0552
Steve Rice,0-(271)842-5157
Carlos Bradley,8-(236)654-7739
George Fuller,5-(063)832-5389
Donald Hart,1-(755)675-1512
Joshua Duncan,5-(571)464-1827
Timothy Mendoza,2-(141)720-1329
Harold Mason,4-(197)205-0549
Marilyn Holmes,7-(330)904-9951
