Johnny Franklin,0-(904)252-5236
Doris Rodriguez,9-(807)201-7563
Steve Gordon,3-(373)181-2834
Anne Russell,6-(300)430-2244
Todd Day,8-(805)959-1059
Ryan Burns,7-(795)779-9108
Bonnie Washington,5-(856)319-8436
Teresa Little,0-(735)359-8395
Brenda Richards,2-(723)765-2216
Ryan Warren,7-(273)454-7634
Pamela Harper,7-(174)502-7091
Kimberly Sanchez,5-(177)295-3133
Maria Rose,6-(120)450-9901
Marilyn Cruz,7-(968)869-6786
Joyce Mills,9-(613)631-6887
Stephen Baker,6-(795)535-2704
Sandra Ruiz,2-(384)978-6341
Margaret Morrison,7-(581)686-1380
Kenneth Tucker,3-(979)318-7303
Christina Stevens,1-(287)232-2690
Jesse Gordon,2-(810)774-3276
Angela Wilson,7-(837)898-3632
Katherine Kennedy,0-(190)621-7766
Philip Burton,8-(183)356-8970
Sarah Adams,9-(009)821-5616
Jane Montgomery,8-(785)790-8325
Roy Olson,2-(583)655-4004
Cynthia Howard,5-(344)556-0349
Jonathan Mills,7-(344)255-3098
Deborah Nelson,6-(526)083-8716
Tammy Banks,2-(222)488-7754
Betty Simpson,4-(903)557-9764
Howard Morris,6-(608)962-1978
George Perkins,5-(879)910-7386
Todd Ryan,5-(899)060-1132
Victor Burke,0-(160)681-4693
Ruth Rivera,4-(911)823-9746
Craig Harvey,3-(266)442-3879
Anne Morrison,5-(753)351-4794
Evelyn Palmer,9-(982)820-0662
Kenneth Turner,8-(700)649-8632
William Gordon,3-(228)560-8170
Carlos Kennedy,6-(663)953-5663
Linda Hunt,3-(237)911-8245
Michelle Warren,0-(915)844-2357
Andrew Kelly,7-(682)720-1731
Timothy Bailey,1-(388)812-9063
Cheryl Henderson,1-(381)769-5350
Justin Bowman,3-(412)966-0829
Jeffrey Henderson,2-(106)773-4748
Juan Murphy,7-(058)454-4141
Gary Henry,5-(450)311-1926
Rose Jacobs,7-(084)824-8520
Willie Stevens,9-(118)814-3522
Christopher Riley,4-(555)259-2800
Jennifer Watson,2-(369)270-5780
Fred Larson,9-(858)345-2030
Maria Larson,1-(812)168-0223
Henry Hernandez,1-(752)250-0832
Barbara George,1-(712)877-4878
Fred Carr,7-(477)660-1458
Ashley Ross,2-(964)249-3986
Antonio Franklin,6-(041)362-3918
Tina Patterson,8-(457)011-1354
Eugene Payne,2-(689)565-4309
Lois Scott,8-(137)966-8206
Juan Nichols,4-(031)650-0371
Harold Sullivan,9-(693)553-6087
Robert Warren,5-(082)247-0466
Earl Fowler,0-(036)143-6870
Russell Price,3-(161)504-1576
